year,city,country,avg_temp
1820,Chengdu,China,9.14
1821,Chengdu,China,10.29
1822,Chengdu,China,10.39
1823,Chengdu,China,10.68
1824,Chengdu,China,
1825,Chengdu,China,
1826,Chengdu,China,
1827,Chengdu,China,
1828,Chengdu,China,
1829,Chengdu,China,
1830,Chengdu,China,
1831,Chengdu,China,
1832,Chengdu,China,
1833,Chengdu,China,10.14
1834,Chengdu,China,10.24
1835,Chengdu,China,9.38
1836,Chengdu,China,9.62
1837,Chengdu,China,11.58
1838,Chengdu,China,14.02
1839,Chengdu,China,
1840,Chengdu,China,10.00
1841,Chengdu,China,9.83
1842,Chengdu,China,10.24
1843,Chengdu,China,10.33
1844,Chengdu,China,10.03
1845,Chengdu,China,9.96
1846,Chengdu,China,10.55
1847,Chengdu,China,10.19
1848,Chengdu,China,9.84
1849,Chengdu,China,10.01
1850,Chengdu,China,10.12
1851,Chengdu,China,10.19
1852,Chengdu,China,10.08
1853,Chengdu,China,10.42
1854,Chengdu,China,10.44
1855,Chengdu,China,10.28
1856,Chengdu,China,9.97
1857,Chengdu,China,10.00
1858,Chengdu,China,10.26
1859,Chengdu,China,10.49
1860,Chengdu,China,9.92
1861,Chengdu,China,9.96
1862,Chengdu,China,9.42
1863,Chengdu,China,10.20
1864,Chengdu,China,9.76
1865,Chengdu,China,10.39
1866,Chengdu,China,10.46
1867,Chengdu,China,9.85
1868,Chengdu,China,10.46
1869,Chengdu,China,10.51
1870,Chengdu,China,10.31
1871,Chengdu,China,10.48
1872,Chengdu,China,10.60
1873,Chengdu,China,10.71
1874,Chengdu,China,10.45
1875,Chengdu,China,10.32
1876,Chengdu,China,10.34
1877,Chengdu,China,10.14
1878,Chengdu,China,10.55
1879,Chengdu,China,10.75
1880,Chengdu,China,10.17
1881,Chengdu,China,10.46
1882,Chengdu,China,10.44
1883,Chengdu,China,10.02
1884,Chengdu,China,9.80
1885,Chengdu,China,9.87
1886,Chengdu,China,10.16
1887,Chengdu,China,10.18
1888,Chengdu,China,10.23
1889,Chengdu,China,10.51
1890,Chengdu,China,10.48
1891,Chengdu,China,10.53
1892,Chengdu,China,10.41
1893,Chengdu,China,10.21
1894,Chengdu,China,10.51
1895,Chengdu,China,10.22
1896,Chengdu,China,10.41
1897,Chengdu,China,10.32
1898,Chengdu,China,10.56
1899,Chengdu,China,10.23
1900,Chengdu,China,10.30
1901,Chengdu,China,10.52
1902,Chengdu,China,10.72
1903,Chengdu,China,10.22
1904,Chengdu,China,10.33
1905,Chengdu,China,9.50
1906,Chengdu,China,10.21
1907,Chengdu,China,10.43
1908,Chengdu,China,10.26
1909,Chengdu,China,10.54
1910,Chengdu,China,10.27
1911,Chengdu,China,10.18
1912,Chengdu,China,10.07
1913,Chengdu,China,10.06
1914,Chengdu,China,10.80
1915,Chengdu,China,10.70
1916,Chengdu,China,10.39
1917,Chengdu,China,10.26
1918,Chengdu,China,10.09
1919,Chengdu,China,10.92
1920,Chengdu,China,10.80
1921,Chengdu,China,10.57
1922,Chengdu,China,10.97
1923,Chengdu,China,10.91
1924,Chengdu,China,10.99
1925,Chengdu,China,10.43
1926,Chengdu,China,10.96
1927,Chengdu,China,10.94
1928,Chengdu,China,11.28
1929,Chengdu,China,10.75
1930,Chengdu,China,10.63
1931,Chengdu,China,10.85
1932,Chengdu,China,10.85
1933,Chengdu,China,11.28
1934,Chengdu,China,10.66
1935,Chengdu,China,11.00
1936,Chengdu,China,10.63
1937,Chengdu,China,11.34
1938,Chengdu,China,11.12
1939,Chengdu,China,11.30
1940,Chengdu,China,11.04
1941,Chengdu,China,11.77
1942,Chengdu,China,11.78
1943,Chengdu,China,11.30
1944,Chengdu,China,10.79
1945,Chengdu,China,11.26
1946,Chengdu,China,12.02
1947,Chengdu,China,11.29
1948,Chengdu,China,11.07
1949,Chengdu,China,10.91
1950,Chengdu,China,10.70
1951,Chengdu,China,10.95
1952,Chengdu,China,11.07
